Date,Time,Sensor ID,Temperature,Humidity
200-1-1,1:15:48,0,20.00,39.30
200-1-1,1:16:18,0,19.90,39.30
200-1-1,1:16:47,0,20.00,39.30
200-1-1,1:17:17,0,19.90,39.30
200-1-1,1:20:31,0,19.90,39.40
200-1-1,1:21:20,0,19.80,39.40
200-1-1,1:21:49,0,19.80,39.40
200-1-1,1:22:19,0,19.90,39.40
200-1-1,1:23:8,0,19.80,39.40
200-1-1,1:23:37,0,19.80,39.50
200-1-1,1:24:7,0,20.00,39.40
200-1-1,1:24:36,0,19.80,39.50
200-1-1,1:25:6,0,20.00,39.50
200-1-1,1:25:35,0,20.00,39.40
200-1-1,1:26:44,0,19.80,39.40
200-1-1,1:27:14,0,19.90,39.40
200-1-1,1:28:3,0,19.90,39.30
200-1-1,1:28:32,0,20.00,39.40
200-1-1,1:29:22,0,19.90,39.30
200-1-1,1:30:11,0,19.90,39.40
200-1-1,1:30:40,0,20.00,39.30
