74DAEAB15FB6
Date,Time,Temperature,Humidity
17-5-19,0:0:8,-1.00,-1.00
17-5-19,0:1:8,-1.00,-1.00
17-5-19,0:2:8,-1.00,-1.00
17-5-19,0:3:8,-1.00,-1.00
17-5-19,0:4:8,-1.00,-1.00
17-5-19,0:5:8,-1.00,-1.00
17-5-19,0:6:8,-1.00,-1.00
17-5-19,0:7:8,-1.00,-1.00
17-5-19,0:8:8,-1.00,-1.00
17-5-19,0:9:8,-1.00,-1.00
17-5-19,0:10:8,-1.00,-1.00
17-5-19,0:11:8,-1.00,-1.00
17-5-19,0:12:8,-1.00,-1.00
17-5-19,0:13:8,-1.00,-1.00
17-5-19,0:14:8,-1.00,-1.00
17-5-19,0:15:8,-1.00,-1.00
17-5-19,0:16:8,-1.00,-1.00
17-5-19,0:17:9,-1.00,-1.00
17-5-19,0:18:8,-1.00,-1.00
17-5-19,0:19:8,-1.00,-1.00
17-5-19,0:20:8,-1.00,-1.00
17-5-19,0:21:8,-1.00,-1.00
17-5-19,0:22:8,-1.00,-1.00
17-5-19,0:23:8,-1.00,-1.00
17-5-19,0:24:8,-1.00,-1.00
17-5-19,0:25:8,-1.00,-1.00
17-5-19,0:26:8,-1.00,-1.00
17-5-19,0:27:8,-1.00,-1.00
17-5-19,0:28:8,-1.00,-1.00
17-5-19,0:29:8,-1.00,-1.00
17-5-19,0:30:9,-1.00,-1.00
17-5-19,0:31:8,-1.00,-1.00
17-5-19,0:32:8,-1.00,-1.00
17-5-19,0:33:8,-1.00,-1.00
17-5-19,0:34:8,-1.00,-1.00
17-5-19,0:35:8,-1.00,-1.00
17-5-19,0:36:8,-1.00,-1.00
17-5-19,0:37:8,-1.00,-1.00
17-5-19,0:38:8,-1.00,-1.00
17-5-19,0:39:8,-1.00,-1.00
17-5-19,0:40:8,-1.00,-1.00
17-5-19,0:41:8,-1.00,-1.00
17-5-19,0:42:8,-1.00,-1.00
17-5-19,0:43:8,-1.00,-1.00
17-5-19,0:44:8,-1.00,-1.00
17-5-19,0:46:8,-1.00,-1.00
17-5-19,0:47:8,-1.00,-1.00
17-5-19,0:48:8,-1.00,-1.00
17-5-19,0:49:8,-1.00,-1.00
17-5-19,0:50:8,-1.00,-1.00
17-5-19,0:51:8,-1.00,-1.00
17-5-19,0:52:8,-1.00,-1.00
17-5-19,0:53:8,-1.00,-1.00
17-5-19,0:54:8,-1.00,-1.00
17-5-19,0:55:8,-1.00,-1.00
17-5-19,0:56:8,-1.00,-1.00
17-5-19,0:57:8,-1.00,-1.00
17-5-19,0:58:8,-1.00,-1.00
