7CEC79DB731A
Date,Time,Temperature,Humidity
17-6-24,2:55:51,0.00,34.83
17-6-24,2:57:46,25.11,33.70
17-6-24,2:58:46,24.98,33.88
17-6-24,2:59:46,24.84,34.02
17-6-24,3:0:46,24.73,33.86
17-6-24,3:2:46,24.59,33.90
17-6-24,3:3:46,24.54,34.02
17-6-24,3:4:46,24.50,34.09
17-6-24,3:5:46,24.48,34.18
17-6-24,3:8:46,24.42,34.29
17-6-24,3:9:46,24.40,34.32
17-6-24,3:10:46,24.40,34.34
17-6-24,3:11:46,24.38,34.37
17-6-24,3:13:46,24.37,34.43
17-6-24,3:14:46,24.35,34.59
17-6-24,3:15:46,24.33,34.68
17-6-24,3:17:46,24.32,34.59
17-6-24,3:18:46,24.31,34.60
17-6-24,3:19:46,24.32,34.59
17-6-24,3:20:46,24.30,34.58
17-6-24,3:21:46,24.31,34.60
17-6-24,3:22:46,24.31,34.58
17-6-24,3:23:46,24.31,34.57
17-6-24,3:24:46,24.31,34.57
17-6-24,3:25:46,24.55,38.50
17-6-24,3:26:46,24.58,35.46
17-6-24,3:27:46,24.64,34.70
17-6-24,3:28:46,24.66,34.68
17-6-24,3:29:46,24.68,34.56
17-6-24,3:30:46,24.64,34.63
17-6-24,3:31:46,24.61,34.43
17-6-24,3:33:46,24.54,34.44
17-6-24,3:34:46,24.50,34.39
17-6-24,3:35:46,24.46,34.41
17-6-24,3:36:46,24.46,35.11
17-6-24,3:37:46,24.47,34.55
17-6-24,3:38:46,24.50,36.48
17-6-24,3:39:46,24.60,35.71
17-6-24,3:40:46,24.74,34.24
17-6-24,3:41:46,24.81,33.69
17-6-24,3:42:46,24.80,33.63
