
Date,Time,Temperature,Humidity
17-7-26,1:5:15,22.30,1.00
17-7-26,1:6:15,22.40,1.00
17-7-26,1:7:15,22.40,1.00
17-7-26,1:8:15,22.40,1.00
17-7-26,1:9:15,22.40,1.00
17-7-26,1:10:15,22.40,1.00
17-7-26,1:11:15,22.50,1.00
17-7-26,1:12:15,22.50,1.00
17-7-26,1:13:15,22.50,1.00
17-7-26,1:14:15,22.50,1.00
17-7-26,1:15:15,22.50,1.00
17-7-26,1:16:15,22.50,1.00
17-7-26,1:17:15,22.50,1.00
17-7-26,1:18:15,22.50,1.00
17-7-26,1:19:15,22.50,1.00
17-7-26,1:20:15,22.50,1.00
17-7-26,1:21:15,22.50,1.00
17-7-26,1:22:15,22.50,1.00
17-7-26,1:33:43,22.50,1.00
17-7-26,1:34:43,22.60,1.00
17-7-26,1:53:3,22.70,1.00
17-7-26,1:54:3,22.80,1.00
17-7-26,1:55:3,22.80,1.00
17-7-26,1:56:3,22.80,1.00
17-7-26,1:57:3,22.80,1.00
17-7-26,1:58:3,22.90,1.00
17-7-26,1:59:3,22.90,1.00
17-7-26,2:0:3,22.90,1.00
17-7-26,2:1:3,23.00,1.00
17-7-26,2:2:3,23.00,1.00
17-7-26,2:3:3,23.00,1.00
17-7-26,2:4:3,23.00,1.00
17-7-26,2:5:3,23.00,1.00
17-7-26,2:6:3,23.10,1.00
17-7-26,2:7:3,23.10,1.00
17-7-26,2:9:3,23.10,1.00
17-7-26,2:10:3,23.10,1.00
17-7-26,2:11:3,23.10,1.00
17-7-26,2:12:3,23.10,1.00
17-7-26,2:13:3,23.10,1.00
17-7-26,2:14:3,23.10,1.00
17-7-26,2:16:3,23.10,1.00
17-7-26,2:17:3,23.10,1.00
17-7-26,2:18:3,23.10,1.00
17-7-26,2:19:3,23.10,1.00
17-7-26,2:21:3,23.10,1.00
17-7-26,2:22:3,23.10,1.00
17-7-26,2:23:3,23.10,1.00
17-7-26,2:24:3,23.00,1.00
17-7-26,2:25:3,23.00,1.00
17-7-26,2:26:3,23.10,1.00
17-7-26,2:27:3,23.10,1.00
17-7-26,2:28:3,23.20,1.00
17-7-26,2:29:3,23.30,1.00
17-7-26,0:43:51,24.00,1.00
17-7-26,0:44:51,23.90,1.00
